Student_ID,Class,Subject,Attendance_Percent,Class_Test,Midterm,Examination
STU001,B6,Mathematics,92,78,82,85
STU001,B6,Science,92,80,85,88
STU002,B6,Mathematics,85,62,65,70
STU002,B6,Science,85,70,68,72
STU003,B6,Mathematics,60,45,40,42
STU003,B6,Science,60,50,48,46
STU004,B6,Mathematics,95,88,90,94
STU004,B6,Science,95,90,92,96
STU005,B6,Mathematics,78,65,70,68
STU005,B6,Science,78,72,74,75
STU006,B6,Mathematics,88,72,75,80
STU006,B6,Science,88,78,80,82
STU007,B6,Mathematics,55,40,38,35
STU007,B6,Science,55,48,42,40
STU008,B6,Mathematics,90,82,85,84
STU008,B6,Science,90,85,88,90
STU009,B6,Mathematics,72,58,60,62
STU009,B6,Science,72,62,65,66
STU010,B6,Mathematics,98,94,95,98
STU010,B6,Science,98,92,96,97
STU011,B6,Mathematics,65,50,52,55
STU011,B6,Science,65,55,58,56
STU012,B6,Mathematics,82,70,72,76
STU012,B6,Science,82,75,76,80
STU013,B6,Mathematics,91,85,88,89
STU013,B6,Science,91,88,90,92
STU014,JHS1,Mathematics,94,80,84,88
STU014,JHS1,Science,94,82,86,90
STU015,JHS1,Mathematics,58,42,40,38
STU015,JHS1,Science,58,45,42,40
STU016,JHS1,Mathematics,86,75,78,82
STU016,JHS1,Science,86,78,80,85
STU017,JHS1,Mathematics,92,88,90,91
STU017,JHS1,Science,92,90,91,95
STU018,JHS1,Mathematics,70,55,58,60
STU018,JHS1,Science,70,60,62,64
STU019,JHS1,Mathematics,80,68,72,75
STU019,JHS1,Science,80,72,75,78
STU020,JHS2,Mathematics,96,90,92,95
STU020,JHS2,Science,96,92,94,96
STU021,JHS2,Mathematics,52,38,35,32
STU021,JHS2,Science,52,42,38,36
STU022,JHS2,Mathematics,84,72,75,79
STU022,JHS2,Science,84,76,78,81
STU023,JHS2,Mathematics,76,62,65,68
STU023,JHS2,Science,76,66,68,70
STU024,JHS2,Mathematics,89,80,82,86
STU024,JHS2,Science,89,84,86,88
STU025,JHS2,Mathematics,62,48,45,44
STU025,JHS2,Science,62,50,48,46
STU026,JHS2,Mathematics,91,84,86,90
STU026,JHS2,Science,91,86,88,92
STU027,JHS2,Mathematics,74,60,62,65
STU027,JHS2,Science,74,65,66,68
STU028,JHS2,Mathematics,87,76,80,83
STU028,JHS2,Science,87,80,82,85
STU029,JHS2,Mathematics,58,44,42,40
STU029,JHS2,Science,58,46,44,42
STU030,JHS2,Mathematics,93,86,89,92
STU030,JHS2,Science,93,88,90,94
STU031,JHS2,Mathematics,81,69,72,76
STU031,JHS2,Science,81,74,75,78
STU032,JHS2,Mathematics,68,52,55,58
STU032,JHS2,Science,68,56,58,60
STU033,JHS2,Mathematics,85,73,76,80
STU033,JHS2,Science,85,78,80,82
STU034,JHS2,Mathematics,79,64,68,71
STU034,JHS2,Science,79,68,70,73
STU035,JHS3,Mathematics,90,82,85,88
STU035,JHS3,Science,90,84,88,90
STU036,JHS3,Mathematics,64,50,48,45
STU036,JHS3,Science,64,52,50,48
